instruction,english,hindi
How would you say this in Hindi?,Pharynx,ग्रसनी
Convert the given sentence into Hindi:,Phellogen,कागजन
What is the Hindi equivalent of this sentence?,Phenotype,"समलक्षणी, लक्षणसमष्टि"
Translate this sentence into Hindi:,Phloem,पोषवाह
Provide the Hindi version of the following:,Photorespiration,प्रकाशीय श्वशन
How do you translate this sentence to Hindi?,Photosynthesis,प्रकाशसंश्लेषण
Rewrite the following in Hindi:,Phototaxis,प्रकाशानुचलन
Hindi translation of this sentence is required:,Phototopic Vision,प्रकाशदृक् दृष्टि
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Phylum,संघ
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Phycology,शैवाल विज्ञान
Is vaakya ko Hindi mein kaise kahenge?,Physiology,शरीर क्रियाविज्ञान
Diya gaya vaakya Hindi mein badlein:,Pisces,मत्स्य वर्ग
Is vaakya ka Hindi samanarth kya hai?,Placenta,अपरा
Is vaakya ko Hindi mein anuvaad karein:,Pollen,पराग
Kripya neeche diye gaye vaakya ka Hindi roop pradaan karein:,Polyploidy,बहुगुणित
Is vaakya ko Hindi mein kaise translate karenge?,Polyuria,बहुमूत्रता
Neeche likha gaya vaakya Hindi mein likhein:,Primates,"प्राइमेट्स, नरवानर गण"
Is vaakya ka Hindi translation pradaan karein:,Protoplasm,जीवद्रव्य
Translate the following sentence to Hindi:,Pseudopodium,कूटपाद
Please provide the Hindi translation for the following sentence:,Pulse,नाड़ी
How would you say this in Hindi?,Putrification,पूतिभवन
Convert the given sentence into Hindi:,Reflex arc,प्रतिवर्ती चाप
What is the Hindi equivalent of this sentence?,Regeneration,पुनरुद्भवन
Translate this sentence into Hindi:,Reinforcement,प्रबलन
Provide the Hindi version of the following:,Reproduction,प्रजनन
How do you translate this sentence to Hindi?,Reptilia,सरिसृप
Rewrite the following in Hindi:,Response,अनुक्रिया
Hindi translation of this sentence is required:,R.N.A.,राइबो न्यूक्लिक एसिड
Neeche diye gaye vaakya ko Hindi mein anuvaad karein:,Root nodules,मूलग्रंथि
Kripya is vaakya ka Hindi anuvaad pradaan karein:,Roundworms,गोलकृमि
Is vaakya ko Hindi mein kaise kahenge?,Sac,कोष
Diya gaya vaakya Hindi mein badlein:,Saliva,लार
